level,id,dataset,ie_pred_kcalmol,true_kcalmol,error_kcalmol,abs_error_kcalmol
wB97M-V__aug-cc-pVTZ,IE-IL174-142,IL174,-96.78148752,-97.635,0.853512482,0.853512482
wB97M-V__aug-cc-pVTZ,IE-IL174-143,IL174,-96.35085091,-97.092,0.741149087,0.741149087
wB97M-V__aug-cc-pVTZ,IE-IL174-144,IL174,-98.1503596,-98.38,0.2296404,0.2296404
wB97M-V__aug-cc-pVTZ,IE-IL174-145,IL174,-86.48119907,-86.575,0.093800934,0.093800934
wB97M-V__aug-cc-pVTZ,IE-IL174-146,IL174,-88.30589126,-88.332,0.026108738,0.026108738
wB97M-V__aug-cc-pVTZ,IE-IL174-147,IL174,-85.59377618,-85.885,0.291223815,0.291223815
wB97M-V__aug-cc-pVTZ,IE-IL174-148,IL174,-100.6962967,-99.699,-0.997296657,0.997296657
wB97M-V__aug-cc-pVTZ,IE-IL174-149,IL174,-97.65239462,-96.866,-0.786394625,0.786394625
wB97M-V__aug-cc-pVTZ,IE-IL174-150,IL174,-87.05998276,-85.155,-1.904982757,1.904982757
wB97M-V__aug-cc-pVTZ,IE-IL174-151,IL174,-84.04607199,-82.526,-1.520071993,1.520071993
wB97M-V__aug-cc-pVTZ,IE-IL174-152,IL174,-98.66668198,-97.491,-1.175681982,1.175681982
wB97M-V__aug-cc-pVTZ,IE-IL174-153,IL174,-97.73111282,-96.688,-1.043112823,1.043112823
wB97M-V__aug-cc-pVTZ,IE-IL174-154,IL174,-88.67811114,-87.206,-1.472111139,1.472111139
wB97M-V__aug-cc-pVTZ,IE-IL174-155,IL174,-84.85895344,-83.477,-1.381953438,1.381953438
wB97M-V__aug-cc-pVTZ,IE-IL174-156,IL174,-86.43102345,-85.118,-1.313023453,1.313023453
wB97M-V__aug-cc-pVTZ,IE-IL174-157,IL174,-90.0605903,-90.499,0.438409701,0.438409701
wB97M-V__aug-cc-pVTZ,IE-IL174-158,IL174,-86.12008842,-86.48,0.359911584,0.359911584
wB97M-V__aug-cc-pVTZ,IE-IL174-159,IL174,-88.44070944,-88.938,0.497290564,0.497290564
wB97M-V__aug-cc-pVTZ,IE-IL174-160,IL174,-93.80509208,-94.448,0.64290792,0.64290792
wB97M-V__aug-cc-pVTZ,IE-IL174-161,IL174,-90.33006906,-90.917,0.586930941,0.586930941
wB97M-V__aug-cc-pVTZ,IE-IL174-162,IL174,-92.39458445,-93.108,0.713415554,0.713415554
wB97M-V__aug-cc-pVTZ,IE-IL174-163,IL174,-81.98441218,-81.702,-0.282412176,0.282412176
wB97M-V__aug-cc-pVTZ,IE-IL174-164,IL174,-82.77529036,-82.562,-0.213290363,0.213290363
wB97M-V__aug-cc-pVTZ,IE-IL174-165,IL174,-83.16066415,-82.891,-0.269664149,0.269664149
wB97M-V__aug-cc-pVTZ,IE-IL174-166,IL174,-83.08706014,-82.935,-0.152060141,0.152060141
wB97M-V__aug-cc-pVTZ,IE-IL174-167,IL174,-83.74385745,-83.566,-0.177857451,0.177857451
wB97M-V__aug-cc-pVTZ,IE-IL174-168,IL174,-96.69192856,-95.921,-0.770928564,0.770928564
wB97M-V__aug-cc-pVTZ,IE-IL174-169,IL174,-92.54692073,-91.801,-0.745920735,0.745920735
wB97M-V__aug-cc-pVTZ,IE-IL174-170,IL174,-93.47465512,-92.967,-0.507655119,0.507655119
wB97M-V__aug-cc-pVTZ,IE-IL174-171,IL174,-83.01623819,-81.49,-1.526238187,1.526238187
wB97M-V__aug-cc-pVTZ,IE-IL174-172,IL174,-79.30803586,-77.902,-1.406035862,1.406035862
