id,level,ae_pred_kcalmol,true_kcalmol,error_kcalmol,abs_error_kcalmol
AE-TAE140-115,wB97M-V__aug-cc-pVTZ,-233.02174167995466,-233.089,0.06725832004534027,0.06725832004534027
AE-TAE140-73,wB97M-V__aug-cc-pVTZ,-300.36658931769756,-298.203,-2.1635893176975856,2.1635893176975856
AE-TAE140-37,wB97M-V__aug-cc-pVTZ,-444.79899058776675,-446.081,1.2820094122332648,1.2820094122332648
AE-TAE140-121,wB97M-V__aug-cc-pVTZ,-231.52706374950608,-233.297,1.7699362504939131,1.7699362504939131
AE-TAE140-76,wB97M-V__aug-cc-pVTZ,-259.4708056517779,-259.727,0.2561943482220954,0.2561943482220954
AE-TAE140-106,wB97M-V__aug-cc-pVTZ,-169.83270831226707,-172.218,2.3852916877329164,2.3852916877329164
AE-TAE140-117,wB97M-V__aug-cc-pVTZ,-290.9401810849513,-290.578,-0.36218108495131673,0.36218108495131673
AE-TAE140-114,wB97M-V__aug-cc-pVTZ,-270.46017057050767,-270.849,0.38882942949231847,0.38882942949231847
AE-TAE140-109,wB97M-V__aug-cc-pVTZ,-176.88498362365297,-177.357,0.4720163763470282,0.4720163763470282
AE-TAE140-47,wB97M-V__aug-cc-pVTZ,-416.287944027845,-430.967,14.67905597215497,14.67905597215497
AE-TAE140-35,wB97M-V__aug-cc-pVTZ,-231.5862649925241,-232.974,1.3877350074758965,1.3877350074758965
AE-TAE140-45,wB97M-V__aug-cc-pVTZ,-651.9321031127769,-651.526,-0.40610311277691835,0.40610311277691835
AE-TAE140-88,wB97M-V__aug-cc-pVTZ,-134.51450626251582,-132.721,-1.7935062625158196,1.7935062625158196
AE-TAE140-108,wB97XD__Def2TZVPP,-338.80919526663456,-346.943,8.133804733365423,8.133804733365423
AE-TAE140-4,wB97XD__Def2TZVPP,-324.6434375015249,-324.945,0.3015624984751071,0.3015624984751071
AE-TAE140-125,wB97XD__Def2TZVPP,-230.47992340975463,-227.882,-2.597923409754628,2.597923409754628
AE-TAE140-95,wB97XD__Def2TZVPP,-186.726611375708,-193.052,6.325388624292003,6.325388624292003
AE-TAE140-29,wB97XD__Def2TZVPP,-510.7492623031623,-513.501,2.7517376968376652,2.7517376968376652
AE-TAE140-122,wB97XD__Def2TZVPP,-200.22242473206433,-208.781,8.55857526793568,8.55857526793568
AE-TAE140-52,wB97XD__Def2TZVPP,-159.76887794250186,-163.78,4.011122057498142,4.011122057498142
AE-TAE140-140,wB97XD__Def2TZVPP,-0.7670354669647524,-2.669,1.9019645330352475,1.9019645330352475
AE-TAE140-71,wB97XD__Def2TZVPP,-395.9128811264716,-398.472,2.559118873528405,2.559118873528405
AE-TAE140-42,wB97XD__Def2TZVPP,-561.7495714947279,-577.78,16.030428505272084,16.030428505272084
AE-TAE140-59,wB97XD__Def2TZVPP,-320.74392581961104,-322.477,1.7330741803889396,1.7330741803889396
AE-TAE140-17,wB97XD__Def2TZVPP,-178.62696993662888,-181.456,2.829030063371107,2.829030063371107
AE-TAE140-66,wB97XD__Def2TZVPP,-336.046487800645,-336.249,0.20251219935499876,0.20251219935499876
AE-TAE140-74,wB97XD__Def2TZVPP,-260.4598628781427,-266.163,5.70313712185731,5.70313712185731
AE-TAE140-31,wB97XD__Def2TZVPP,-182.48814595658112,-182.591,0.10285404341888693,0.10285404341888693
AE-TAE140-129,wB97XD__Def2TZVPP,-216.0371736706467,-234.348,18.31082632935332,18.31082632935332
AE-TAE140-107,wB97XD__Def2TZVPP,-173.9839370744013,-181.35,7.366062925598698,7.366062925598698
AE-TAE140-68,wB97XD__Def2TZVPP,-402.36018396473924,-403.743,1.3828160352607597,1.3828160352607597
AE-TAE140-80,wB97XD__Def2TZVPP,-265.2692939649731,-269.089,3.819706035026911,3.819706035026911
AE-TAE140-63,wB97XD__Def2TZVPP,-533.526874751289,-533.462,-0.06487475128903952,0.06487475128903952
AE-TAE140-127,wB97XD__Def2TZVPP,-158.7064899294235,-168.364,9.657510070576507,9.657510070576507
AE-TAE140-20,wB97XD__Def2TZVPP,-88.24191737365668,-87.731,-0.5109173736566817,0.5109173736566817
AE-TAE140-113,wB97XD__Def2TZVPP,-126.10947278720545,-126.465,0.3555272127945557,0.3555272127945557
AE-TAE140-119,wB97XD__Def2TZVPP,-124.67845643525528,-120.824,-3.854456435255287,3.854456435255287
AE-TAE140-53,wB97XD__Def2TZVPP,-802.3250121940775,-804.017,1.6919878059225084,1.6919878059225084
AE-TAE140-43,wB97XD__Def2TZVPP,-464.68443203714475,-470.973,6.288567962855268,6.288567962855268
AE-TAE140-130,wB97XD__Def2TZVPP,-54.44486744171528,-53.075,-1.3698674417152787,1.3698674417152787
AE-TAE140-30,wB97XD__Def2TZVPP,-106.02830038493845,-107.499,1.4706996150615481,1.4706996150615481
AE-TAE140-28,wB97XD__Def2TZVPP,-561.5699833611038,-564.095,2.5250166388962043,2.5250166388962043
AE-TAE140-139,wB97XD__Def2TZVPP,-82.21190367009613,-105.239,23.02709632990387,23.02709632990387
AE-TAE140-137,wB97XD__Def2TZVPP,-147.5745702429369,-152.369,4.794429757063114,4.794429757063114
AE-TAE140-82,wB97XD__Def2TZVPP,-435.50884625881565,-434.737,-0.7718462588156285,0.7718462588156285
AE-TAE140-55,wB97XD__Def2TZVPP,-372.44433899111806,-374.658,2.2136610088819566,2.2136610088819566
AE-TAE140-64,wB97XD__Def2TZVPP,-140.8379927447603,-142.71,1.8720072552397085,1.8720072552397085
AE-TAE140-98,wB97XD__Def2TZVPP,-363.9953568167714,-364.971,0.9756431832286125,0.9756431832286125
AE-TAE140-49,wB97XD__Def2TZVPP,-358.1352559028959,-359.934,1.7987440971041337,1.7987440971041337
AE-TAE140-67,wB97XD__Def2TZVPP,-632.2234723071117,-635.101,2.877527692888293,2.877527692888293
AE-TAE140-78,wB97XD__Def2TZVPP,-420.2352049080794,-420.636,0.4007950919205996,0.4007950919205996
AE-TAE140-84,wB97XD__Def2TZVPP,-257.9762728027891,-258.782,0.8057271972108992,0.8057271972108992
